"Player" "Run" "BF" "X4s" "X6s" "SR"
"S Dhawan" 100 102 11 0 98.04
"S Dhawan" 8 6 2 0 133.33
"S Dhawan" 95 86 14 0 110.47
"S Dhawan" 7 15 1 0 46.67
"S K Raina" 110 104 9 4 105.77
"S K Raina" 22 25 2 0 88
"S K Raina" 6 5 1 0 120
"S K Raina" 74 56 5 3 132.14
"S K Raina" 1 5 0 0 20
"S K Raina" 1 3 0 0 33.33
"S K Raina" 51 63 6 0 80.95
"S K Raina" 11 5 1 1 220
"S K Raina" 18 23 0 1 78.26
"S K Raina" 14 6 1 1 233.33
"S K Raina" 52 34 4 3 152.94
"S K Raina" 71 58 3 5 122.41
"S K Raina" 62 60 5 2 103.33
"S K Raina" 0 2 0 0 0
"S K Raina" 18 23 2 0 78.26
"S K Raina" 42 42 0 0 100
"S K Raina" 31 39 3 0 79.49
"S K Raina" 35 22 6 0 159.09
"S K Raina" 18 22 2 0 81.82
"S K Raina" 14 20 2 0 70
"S K Raina" 34 43 3 0 79.07
"S K Raina" 23 24 2 0 95.83
"S K Raina" 0 5 0 0 0
"S K Raina" 16 15 2 0 106.67
"S K Raina" 16 15 2 0 106.67
"S K Raina" 17 19 2 0 89.47
"S K Raina" 39 45 2 1 86.67
"V Kohli" 38 48 4 0 79.17
"V Kohli" 44 42 4 1 104.76
"V Kohli" 33 36 5 0 91.67
"V Kohli" 33 41 5 0 80.49
"V Kohli" 46 60 3 0 76.67
"V Kohli" 107 126 8 0 84.92
"V Kohli" 8 19 0 0 42.11
"V Kohli" 3 9 0 0 33.33
"V Kohli" 4 8 0 0 50
"V Kohli" 9 16 0 0 56.25
"V Kohli" 127 114 13 3 111.4
"V Kohli" 62 78 5 0 79.49
"V Kohli" 2 5 0 0 40
"V Kohli" 13 21 2 0 61.9
"V Kohli" 1 3 0 0 33.33
"V Kohli" 40 50 2 1 80
"V Kohli" 82 78 7 3 105.13
"V Kohli" 2 10 0 0 20
"V Kohli" 6 20 1 0 30
"V Kohli" 78 65 7 2 120
"V Kohli" 123 111 11 2 110.81
"V Kohli" 31 35 5 0 88.57
