,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
588,RCB,Daredevils,RCB,15 runs,Bengaluru,"Apr 8, 2017",T20
589,Sunrisers,Guj Lions,Sunrisers,9 wickets,Hyderabad (Deccan),"Apr 9, 2017",T20
590,Mum Indians,KKR,Mum Indians,4 wickets,Mumbai,"Apr 9, 2017",T20
591,Kings XI,RCB,Kings XI,8 wickets,Indore,"Apr 10, 2017",T20
592,Supergiant,Daredevils,Daredevils,97 runs,Pune,"Apr 11, 2017",T20
593,Mum Indians,Sunrisers,Mum Indians,4 wickets,Mumbai,"Apr 12, 2017",T20
594,KKR,Kings XI,KKR,8 wickets,Kolkata,"Apr 13, 2017",T20
595,RCB,Mum Indians,Mum Indians,4 wickets,Bengaluru,"Apr 14, 2017",T20
596,Guj Lions,Supergiant,Guj Lions,7 wickets,Rajkot,"Apr 14, 2017",T20
597,KKR,Sunrisers,KKR,17 runs,Kolkata,"Apr 15, 2017",T20
598,Daredevils,Kings XI,Daredevils,51 runs,Delhi,"Apr 15, 2017",T20
599,Mum Indians,Guj Lions,Mum Indians,6 wickets,Mumbai,"Apr 16, 2017",T20
600,RCB,Supergiant,Supergiant,27 runs,Bengaluru,"Apr 16, 2017",T20
601,Daredevils,KKR,KKR,4 wickets,Delhi,"Apr 17, 2017",T20
602,Sunrisers,Kings XI,Sunrisers,5 runs,Hyderabad (Deccan),"Apr 17, 2017",T20
603,Guj Lions,RCB,RCB,21 runs,Rajkot,"Apr 18, 2017",T20
604,Sunrisers,Daredevils,Sunrisers,15 runs,Hyderabad (Deccan),"Apr 19, 2017",T20
605,Kings XI,Mum Indians,Mum Indians,8 wickets,Indore,"Apr 20, 2017",T20
606,KKR,Guj Lions,Guj Lions,4 wickets,Kolkata,"Apr 21, 2017",T20
607,Supergiant,Sunrisers,Supergiant,6 wickets,Pune,"Apr 22, 2017",T20
608,Mum Indians,Daredevils,Mum Indians,14 runs,Mumbai,"Apr 22, 2017",T20
609,Guj Lions,Kings XI,Kings XI,26 runs,Rajkot,"Apr 23, 2017",T20
610,KKR,RCB,KKR,82 runs,Kolkata,"Apr 23, 2017",T20
611,Mum Indians,Supergiant,Supergiant,3 runs,Mumbai,"Apr 24, 2017",T20
612,RCB,Sunrisers,abandoned,,Bengaluru,"Apr 25, 2017",T20
