,Team 1,Team 2,Winner,Margin,Ground,Match Date,Type
65,Mum Indians,Royals,abandoned,,Durban,"Apr 21, 2009",T20
66,RCB,Chargers,Chargers,24 runs,Cape Town,"Apr 22, 2009",T20
67,Super Kings,Daredevils,Daredevils,9 runs,Durban,"Apr 23, 2009",T20
68,KKR,Royals,tied,,Cape Town,"Apr 23, 2009",T20
69,RCB,Kings XI,Kings XI,7 wickets,Durban,"Apr 24, 2009",T20
70,Chargers,Mum Indians,Chargers,12 runs,Durban,"Apr 25, 2009",T20
71,Super Kings,KKR,abandoned,,Cape Town,"Apr 25, 2009",T20
72,RCB,Daredevils,Daredevils,6 wickets,Port Elizabeth,"Apr 26, 2009",T20
73,Kings XI,Royals,Kings XI,27 runs,Cape Town,"Apr 26, 2009",T20
74,Super Kings,Chargers,Chargers,6 wickets,Durban,"Apr 27, 2009",T20
75,KKR,Mum Indians,Mum Indians,92 runs,Port Elizabeth,"Apr 27, 2009",T20
76,Daredevils,Royals,Royals,5 wickets,Centurion,"Apr 28, 2009",T20
77,RCB,KKR,RCB,5 wickets,Durban,"Apr 29, 2009",T20
78,Kings XI,Mum Indians,Kings XI,3 runs,Durban,"Apr 29, 2009",T20
79,Chargers,Daredevils,Daredevils,6 wickets,Centurion,"Apr 30, 2009",T20
80,Super Kings,Royals,Super Kings,38 runs,Centurion,"Apr 30, 2009",T20
81,KKR,Mum Indians,Mum Indians,9 runs,East London,"May 1, 2009",T20
82,RCB,Kings XI,RCB,8 runs,Durban,"May 1, 2009",T20
83,Chargers,Royals,Royals,3 wickets,Port Elizabeth,"May 2, 2009",T20
84,Super Kings,Daredevils,Super Kings,18 runs,Johannesburg,"May 2, 2009",T20
85,Kings XI,KKR,Kings XI,6 wickets,Port Elizabeth,"May 3, 2009",T20
86,RCB,Mum Indians,RCB,9 wickets,Johannesburg,"May 3, 2009",T20
87,Super Kings,Chargers,Super Kings,78 runs,East London,"May 4, 2009",T20
88,Kings XI,Royals,Royals,78 runs,Durban,"May 5, 2009",T20
89,Daredevils,KKR,Daredevils,9 wickets,Durban,"May 5, 2009",T20
90,Chargers,Mum Indians,Chargers,19 runs,Centurion,"May 6, 2009",T20
91,RCB,Royals,Royals,7 wickets,Centurion,"May 7, 2009",T20
92,Super Kings,Kings XI,Super Kings,12 runs,Centurion,"May 7, 2009",T20
93,Daredevils,Mum Indians,Daredevils,7 wickets,East London,"May 8, 2009",T20
94,Chargers,Kings XI,Kings XI,3 wickets,Kimberley,"May 9, 2009",T20
95,Super Kings,Royals,Super Kings,7 wickets,Kimberley,"May 9, 2009",T20
96,RCB,Mum Indians,Mum Indians,16 runs,Port Elizabeth,"May 10, 2009",T20
97,Daredevils,KKR,Daredevils,7 wickets,Johannesburg,"May 10, 2009",T20
98,Chargers,Royals,Chargers,53 runs,Kimberley,"May 11, 2009",T20
99,RCB,KKR,RCB,6 wickets,Centurion,"May 12, 2009",T20
100,Kings XI,Mum Indians,Mum Indians,8 wickets,Centurion,"May 12, 2009",T20
101,Chargers,Daredevils,Daredevils,12 runs,Durban,"May 13, 2009",T20
102,RCB,Super Kings,RCB,2 wickets,Durban,"May 14, 2009",T20
103,Mum Indians,Royals,Royals,2 runs,Durban,"May 14, 2009",T20
104,Daredevils,Kings XI,Kings XI,6 wickets,Bloemfontein,"May 15, 2009",T20
105,Super Kings,Mum Indians,Super Kings,7 wickets,Port Elizabeth,"May 16, 2009",T20
106,Chargers,KKR,Chargers,6 wickets,Johannesburg,"May 16, 2009",T20
107,Chargers,Kings XI,Kings XI,1 run,Johannesburg,"May 17, 2009",T20
108,Daredevils,Royals,Daredevils,14 runs,Bloemfontein,"May 17, 2009",T20
109,Super Kings,KKR,KKR,7 wickets,Centurion,"May 18, 2009",T20
110,RCB,Daredevils,RCB,7 wickets,Johannesburg,"May 19, 2009",T20
111,KKR,Royals,KKR,4 wickets,Durban,"May 20, 2009",T20
112,Super Kings,Kings XI,Super Kings,24 runs,Durban,"May 20, 2009",T20
113,Daredevils,Mum Indians,Daredevils,4 wickets,Centurion,"May 21, 2009",T20
114,RCB,Chargers,RCB,12 runs,Centurion,"May 21, 2009",T20
115,Daredevils,Chargers,Chargers,6 wickets,Centurion,"May 22, 2009",T20
116,RCB,Super Kings,RCB,6 wickets,Johannesburg,"May 23, 2009",T20
117,RCB,Chargers,Chargers,6 runs,Johannesburg,"May 24, 2009",T20
118,Chargers,KKR,KKR,11 runs,Mumbai,"Mar 12, 2010",T20
119,Mum Indians,Royals,Mum Indians,4 runs,Mumbai (BS),"Mar 13, 2010",T20
120,Kings XI,Daredevils,Daredevils,5 wickets,Mohali,"Mar 13, 2010",T20
121,KKR,RCB,KKR,7 wickets,Kolkata,"Mar 14, 2010",T20
122,Super Kings,Chargers,Chargers,31 runs,Chennai,"Mar 14, 2010",T20
123,Royals,Daredevils,Daredevils,6 wickets,Ahmedabad,"Mar 15, 2010",T20
124,RCB,Kings XI,RCB,8 wickets,Bengaluru,"Mar 16, 2010",T20
125,KKR,Super Kings,Super Kings,55 runs,Kolkata,"Mar 16, 2010",T20
126,Daredevils,Mum Indians,Mum Indians,98 runs,Delhi,"Mar 17, 2010",T20
127,RCB,Royals,RCB,10 wickets,Bengaluru,"Mar 18, 2010",T20
128,Daredevils,Super Kings,Super Kings,5 wickets,Delhi,"Mar 19, 2010",T20
129,Chargers,Kings XI,Chargers,6 runs,Cuttack,"Mar 19, 2010",T20
130,Royals,KKR,Royals,34 runs,Ahmedabad,"Mar 20, 2010",T20
131,Mum Indians,RCB,RCB,7 wickets,Mumbai (BS),"Mar 20, 2010",T20
132,Chargers,Daredevils,Chargers,10 runs,Cuttack,"Mar 21, 2010",T20
133,Super Kings,Kings XI,tied,,Chennai,"Mar 21, 2010",T20
134,Mum Indians,KKR,Mum Indians,7 wickets,Mumbai (BS),"Mar 22, 2010",T20
135,RCB,Super Kings,RCB,36 runs,Bengaluru,"Mar 23, 2010",T20
136,Kings XI,Royals,Royals,31 runs,Mohali,"Mar 24, 2010",T20
137,RCB,Daredevils,Daredevils,17 runs,Bengaluru,"Mar 25, 2010",T20
138,Mum Indians,Super Kings,Mum Indians,5 wickets,Mumbai (BS),"Mar 25, 2010",T20
139,Royals,Chargers,Royals,8 wickets,Ahmedabad,"Mar 26, 2010",T20
140,Kings XI,KKR,KKR,39 runs,Mohali,"Mar 27, 2010",T20
141,Royals,Super Kings,Royals,17 runs,Ahmedabad,"Mar 28, 2010",T20
142,Chargers,Mum Indians,Mum Indians,41 runs,Mumbai,"Mar 28, 2010",T20
143,Daredevils,KKR,Daredevils,40 runs,Delhi,"Mar 29, 2010",T20
144,Mum Indians,Kings XI,Mum Indians,4 wickets,Mumbai (BS),"Mar 30, 2010",T20
145,Super Kings,RCB,Super Kings,5 wickets,Chennai,"Mar 31, 2010",T20
146,Daredevils,Royals,Daredevils,67 runs,Delhi,"Mar 31, 2010",T20
147,KKR,Chargers,KKR,24 runs,Kolkata,"Apr 1, 2010",T20
148,Kings XI,RCB,RCB,6 wickets,Mohali,"Apr 2, 2010",T20
149,Super Kings,Royals,Super Kings,23 runs,Chennai,"Apr 3, 2010",T20
150,Mum Indians,Chargers,Mum Indians,63 runs,Mumbai (BS),"Apr 3, 2010",T20
151,KKR,Kings XI,Kings XI,8 wickets,Kolkata,"Apr 4, 2010",T20
152,Daredevils,RCB,Daredevils,37 runs,Delhi,"Apr 4, 2010",T20
153,Chargers,Royals,Royals,2 runs,Nagpur,"Apr 5, 2010",T20
154,Super Kings,Mum Indians,Super Kings,24 runs,Chennai,"Apr 6, 2010",T20
155,Royals,Kings XI,Royals,9 wickets,Jaipur,"Apr 7, 2010",T20
156,KKR,Daredevils,KKR,14 runs,Kolkata,"Apr 7, 2010",T20
157,RCB,Chargers,Chargers,7 wickets,Bengaluru,"Apr 8, 2010",T20
158,Kings XI,Mum Indians,Kings XI,6 wickets,Mohali,"Apr 9, 2010",T20
159,Chargers,Super Kings,Chargers,6 wickets,Nagpur,"Apr 10, 2010",T20
160,RCB,KKR,RCB,7 wickets,Bengaluru,"Apr 10, 2010",T20
161,Daredevils,Kings XI,Kings XI,7 wickets,Delhi,"Apr 11, 2010",T20
162,Royals,Mum Indians,Mum Indians,37 runs,Jaipur,"Apr 11, 2010",T20
163,Chargers,RCB,Chargers,13 runs,Nagpur,"Apr 12, 2010",T20
164,Mum Indians,Daredevils,Mum Indians,39 runs,Mumbai (BS),"Apr 13, 2010",T20
165,Super Kings,KKR,Super Kings,9 wickets,Chennai,"Apr 13, 2010",T20
166,Royals,RCB,RCB,5 wickets,Jaipur,"Apr 14, 2010",T20
167,Super Kings,Daredevils,Daredevils,6 wickets,Chennai,"Apr 15, 2010",T20
168,Kings XI,Chargers,Chargers,5 wickets,Dharamsala,"Apr 16, 2010",T20
169,RCB,Mum Indians,Mum Indians,57 runs,Bengaluru,"Apr 17, 2010",T20
170,KKR,Royals,KKR,8 wickets,Kolkata,"Apr 17, 2010",T20
171,Kings XI,Super Kings,Super Kings,6 wickets,Dharamsala,"Apr 18, 2010",T20
172,Daredevils,Chargers,Chargers,11 runs,Delhi,"Apr 18, 2010",T20
173,KKR,Mum Indians,KKR,9 wickets,Kolkata,"Apr 19, 2010",T20
174,RCB,Mum Indians,Mum Indians,35 runs,Mumbai,"Apr 21, 2010",T20
175,Super Kings,Chargers,Super Kings,38 runs,Mumbai,"Apr 22, 2010",T20
176,RCB,Chargers,RCB,9 wickets,Mumbai,"Apr 24, 2010",T20
177,Super Kings,Mum Indians,Super Kings,22 runs,Mumbai,"Apr 25, 2010",T20
178,Super Kings,KKR,Super Kings,2 runs,Chennai,"Apr 8, 2011",T20
179,Chargers,Royals,Royals,8 wickets,Hyderabad (Deccan),"Apr 9, 2011",T20
180,Kochi,RCB,RCB,6 wickets,Kochi,"Apr 9, 2011",T20
181,Daredevils,Mum Indians,Mum Indians,8 wickets,Delhi,"Apr 10, 2011",T20
182,Warriors,Kings XI,Warriors,7 wickets,Mumbai,"Apr 10, 2011",T20
183,KKR,Chargers,KKR,9 runs,Kolkata,"Apr 11, 2011",T20
184,Royals,Daredevils,Royals,6 wickets,Jaipur,"Apr 12, 2011",T20
185,RCB,Mum Indians,Mum Indians,9 wickets,Bengaluru,"Apr 12, 2011",T20
186,Kings XI,Super Kings,Kings XI,6 wickets,Mohali,"Apr 13, 2011",T20
187,Warriors,Kochi,Warriors,4 wickets,Mumbai,"Apr 13, 2011",T20
188,Chargers,RCB,Chargers,33 runs,Hyderabad (Deccan),"Apr 14, 2011",T20
189,Royals,KKR,KKR,9 wickets,Jaipur,"Apr 15, 2011",T20
190,Mum Indians,Kochi,Kochi,8 wickets,Mumbai,"Apr 15, 2011",T20
191,Super Kings,RCB,Super Kings,21 runs,Chennai,"Apr 16, 2011",T20
192,Chargers,Kings XI,Kings XI,8 wickets,Hyderabad (Deccan),"Apr 16, 2011",T20
193,Warriors,Daredevils,Daredevils,3 wickets,Mumbai,"Apr 17, 2011",T20
194,KKR,Royals,KKR,8 wickets,Kolkata,"Apr 17, 2011",T20
195,Kochi,Super Kings,Kochi,7 wickets,Kochi,"Apr 18, 2011",T20
196,Daredevils,Chargers,Chargers,16 runs,Delhi,"Apr 19, 2011",T20
197,RCB,Royals,abandoned,,Bengaluru,"Apr 19, 2011",T20
198,Mum Indians,Warriors,Mum Indians,7 wickets,Mumbai,"Apr 20, 2011",T20
199,KKR,Kochi,Kochi,6 runs,Kolkata,"Apr 20, 2011",T20
200,Kings XI,Royals,Kings XI,48 runs,Mohali,"Apr 21, 2011",T20
201,KKR,RCB,RCB,9 wickets,Kolkata,"Apr 22, 2011",T20
202,Mum Indians,Super Kings,Mum Indians,8 runs,Mumbai,"Apr 22, 2011",T20
203,Daredevils,Kings XI,Daredevils,29 runs,Delhi,"Apr 23, 2011",T20
204,Chargers,Mum Indians,Mum Indians,37 runs,Hyderabad (Deccan),"Apr 24, 2011",T20
205,Royals,Kochi,Royals,8 wickets,Jaipur,"Apr 24, 2011",T20
206,Super Kings,Warriors,Super Kings,25 runs,Chennai,"Apr 25, 2011",T20
207,Daredevils,RCB,RCB,3 wickets,Delhi,"Apr 26, 2011",T20
208,Warriors,Super Kings,Super Kings,8 wickets,Mumbai,"Apr 27, 2011",T20
209,Kochi,Chargers,Chargers,55 runs,Kochi,"Apr 27, 2011",T20
210,Daredevils,KKR,KKR,17 runs,Delhi,"Apr 28, 2011",T20
211,Royals,Mum Indians,Royals,7 wickets,Jaipur,"Apr 29, 2011",T20
212,RCB,Warriors,RCB,26 runs,Bengaluru,"Apr 29, 2011",T20
213,Kochi,Daredevils,Daredevils,38 runs,Kochi,"Apr 30, 2011",T20
214,KKR,Kings XI,KKR,8 wickets,Kolkata,"Apr 30, 2011",T20
215,Royals,Warriors,Royals,6 wickets,Jaipur,"May 1, 2011",T20
216,Super Kings,Chargers,Super Kings,19 runs,Chennai,"May 1, 2011",T20
217,Mum Indians,Kings XI,Mum Indians,23 runs,Mumbai,"May 2, 2011",T20
218,Daredevils,Kochi,Kochi,7 wickets,Delhi,"May 2, 2011",T20
219,Chargers,KKR,KKR,20 runs,Hyderabad (Deccan),"May 3, 2011",T20
220,Super Kings,Royals,Super Kings,8 wickets,Chennai,"May 4, 2011",T20
221,Warriors,Mum Indians,Mum Indians,21 runs,Mumbai,"May 4, 2011",T20
222,Kochi,KKR,Kochi,17 runs,Kochi,"May 5, 2011",T20
223,Chargers,Daredevils,Daredevils,4 wickets,Hyderabad (Deccan),"May 5, 2011",T20
224,RCB,Kings XI,RCB,85 runs,Bengaluru,"May 6, 2011",T20
225,KKR,Super Kings,KKR,10 runs,Kolkata,"May 7, 2011",T20
226,Mum Indians,Daredevils,Mum Indians,32 runs,Mumbai,"May 7, 2011",T20
227,RCB,Kochi,RCB,9 wickets,Bengaluru,"May 8, 2011",T20
228,Kings XI,Warriors,Warriors,5 wickets,Mohali,"May 8, 2011",T20
229,Royals,Super Kings,Super Kings,63 runs,Jaipur,"May 9, 2011",T20
230,Chargers,Warriors,Warriors,6 wickets,Hyderabad (Deccan),"May 10, 2011",T20
231,Kings XI,Mum Indians,Kings XI,76 runs,Mohali,"May 10, 2011",T20
232,Royals,RCB,RCB,9 wickets,Jaipur,"May 11, 2011",T20
233,Super Kings,Daredevils,Super Kings,18 runs,Chennai,"May 12, 2011",T20
234,Kochi,Kings XI,Kings XI,6 wickets,Indore,"May 13, 2011",T20
235,RCB,KKR,RCB,4 wickets,Bengaluru,"May 14, 2011",T20
236,Mum Indians,Chargers,Chargers,10 runs,Mumbai,"May 14, 2011",T20
237,Kings XI,Daredevils,Kings XI,29 runs,Dharamsala,"May 15, 2011",T20
238,Kochi,Royals,Kochi,8 wickets,Indore,"May 15, 2011",T20
239,Warriors,Chargers,Chargers,6 wickets,Mumbai,"May 16, 2011",T20
240,Kings XI,RCB,Kings XI,111 runs,Dharamsala,"May 17, 2011",T20
241,Super Kings,Kochi,Super Kings,11 runs,Chennai,"May 18, 2011",T20
242,Warriors,KKR,KKR,7 wickets,Mumbai,"May 19, 2011",T20
243,Mum Indians,Royals,Royals,10 wickets,Mumbai,"May 20, 2011",T20
244,Kings XI,Chargers,Chargers,82 runs,Dharamsala,"May 21, 2011",T20
245,Daredevils,Warriors,no result,,Delhi,"May 21, 2011",T20
246,RCB,Super Kings,RCB,8 wickets,Bengaluru,"May 22, 2011",T20
247,KKR,Mum Indians,Mum Indians,5 wickets,Kolkata,"May 22, 2011",T20
248,RCB,Super Kings,Super Kings,6 wickets,Mumbai,"May 24, 2011",T20
249,KKR,Mum Indians,Mum Indians,4 wickets,Mumbai,"May 25, 2011",T20
250,RCB,Mum Indians,RCB,43 runs,Chennai,"May 27, 2011",T20
251,Super Kings,RCB,Super Kings,58 runs,Chennai,"May 28, 2011",T20
252,Super Kings,Mum Indians,Mum Indians,8 wickets,Chennai,"Apr 4, 2012",T20
253,KKR,Daredevils,Daredevils,8 wickets,Kolkata,"Apr 5, 2012",T20
254,Mum Indians,Warriors,Warriors,28 runs,Mumbai,"Apr 6, 2012",T20
255,Royals,Kings XI,Royals,31 runs,Jaipur,"Apr 6, 2012",T20
256,RCB,Daredevils,RCB,20 runs,Bengaluru,"Apr 7, 2012",T20
257,Chargers,Super Kings,Super Kings,74 runs,Visakhapatnam,"Apr 7, 2012",T20
258,Royals,KKR,Royals,22 runs,Jaipur,"Apr 8, 2012",T20
259,Warriors,Kings XI,Warriors,22 runs,Pune,"Apr 8, 2012",T20
260,Chargers,Mum Indians,Mum Indians,5 wickets,Visakhapatnam,"Apr 9, 2012",T20
261,RCB,KKR,KKR,42 runs,Bengaluru,"Apr 10, 2012",T20
262,Daredevils,Super Kings,Daredevils,8 wickets,Delhi,"Apr 10, 2012",T20
263,Mum Indians,Royals,Mum Indians,27 runs,Mumbai,"Apr 11, 2012",T20
264,Super Kings,RCB,Super Kings,5 wickets,Chennai,"Apr 12, 2012",T20
265,Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 12, 2012",T20
266,KKR,Royals,KKR,5 wickets,Kolkata,"Apr 13, 2012",T20
267,Warriors,Super Kings,Warriors,7 wickets,Pune,"Apr 14, 2012",T20
268,KKR,Kings XI,Kings XI,2 runs,Kolkata,"Apr 15, 2012",T20
269,RCB,Royals,Royals,59 runs,Bengaluru,"Apr 15, 2012",T20
270,Mum Indians,Daredevils,Daredevils,7 wickets,Mumbai,"Apr 16, 2012",T20
271,Royals,Chargers,Royals,5 wickets,Jaipur,"Apr 17, 2012",T20
272,RCB,Warriors,RCB,6 wickets,Bengaluru,"Apr 17, 2012",T20
273,Kings XI,KKR,KKR,8 wickets,Mohali,"Apr 18, 2012",T20
274,Daredevils,Chargers,Daredevils,5 wickets,Delhi,"Apr 19, 2012",T20
275,Super Kings,Warriors,Super Kings,13 runs,Chennai,"Apr 19, 2012",T20
276,Kings XI,RCB,RCB,5 wickets,Mohali,"Apr 20, 2012",T20
277,Super Kings,Royals,Super Kings,7 wickets,Chennai,"Apr 21, 2012",T20
278,Daredevils,Warriors,Warriors,20 runs,Delhi,"Apr 21, 2012",T20
279,Mum Indians,Kings XI,Kings XI,6 wickets,Mumbai,"Apr 22, 2012",T20
280,Chargers,KKR,KKR,5 wickets,Cuttack,"Apr 22, 2012",T20
281,Royals,RCB,RCB,46 runs,Jaipur,"Apr 23, 2012",T20
282,Warriors,Daredevils,Daredevils,8 wickets,Pune,"Apr 24, 2012",T20
283,KKR,Chargers,abandoned,,Kolkata,"Apr 24, 2012",T20
284,Kings XI,Mum Indians,Mum Indians,4 wickets,Mohali,"Apr 25, 2012",T20
285,RCB,Super Kings,no result,,Bengaluru,"Apr 25, 2012",T20
286,Warriors,Chargers,Chargers,18 runs,Pune,"Apr 26, 2012",T20
287,Daredevils,Mum Indians,Daredevils,37 runs,Delhi,"Apr 27, 2012",T20
288,Super Kings,Kings XI,Kings XI,7 runs,Chennai,"Apr 28, 2012",T20
289,KKR,RCB,KKR,47 runs,Kolkata,"Apr 28, 2012",T20
290,Daredevils,Royals,Daredevils,1 run,Delhi,"Apr 29, 2012",T20
291,Mum Indians,Chargers,Mum Indians,5 wickets,Mumbai,"Apr 29, 2012",T20
292,Super Kings,KKR,KKR,5 wickets,Chennai,"Apr 30, 2012",T20
293,Chargers,Warriors,Chargers,13 runs,Cuttack,"May 1, 2012",T20
294,Royals,Daredevils,Daredevils,6 wickets,Jaipur,"May 1, 2012",T20
295,RCB,Kings XI,Kings XI,4 wickets,Bengaluru,"May 2, 2012",T20
296,Warriors,Mum Indians,Mum Indians,1 run,Pune,"May 3, 2012",T20
297,Super Kings,Chargers,Super Kings,10 runs,Chennai,"May 4, 2012",T20
298,KKR,Warriors,KKR,7 runs,Kolkata,"May 5, 2012",T20
299,Kings XI,Royals,Royals,43 runs,Mohali,"May 5, 2012",T20
300,Mum Indians,Super Kings,Mum Indians,2 wickets,Mumbai,"May 6, 2012",T20
301,RCB,Chargers,RCB,5 wickets,Bengaluru,"May 6, 2012",T20
302,Daredevils,KKR,KKR,6 wickets,Delhi,"May 7, 2012",T20
303,Warriors,Royals,Royals,7 wickets,Pune,"May 8, 2012",T20
304,Chargers,Kings XI,Kings XI,25 runs,Hyderabad (Deccan),"May 8, 2012",T20
305,Mum Indians,RCB,RCB,9 wickets,Mumbai,"May 9, 2012",T20
306,Chargers,Daredevils,Daredevils,9 wickets,Hyderabad (Deccan),"May 10, 2012",T20
307,Royals,Super Kings,Super Kings,4 wickets,Jaipur,"May 10, 2012",T20
308,Warriors,RCB,RCB,35 runs,Pune,"May 11, 2012",T20
309,KKR,Mum Indians,Mum Indians,27 runs,Kolkata,"May 12, 2012",T20
310,Super Kings,Daredevils,Super Kings,9 wickets,Chennai,"May 12, 2012",T20
311,Royals,Warriors,Royals,45 runs,Jaipur,"May 13, 2012",T20
312,Kings XI,Chargers,Kings XI,4 wickets,Mohali,"May 13, 2012",T20
313,RCB,Mum Indians,Mum Indians,5 wickets,Bengaluru,"May 14, 2012",T20
314,KKR,Super Kings,Super Kings,5 wickets,Kolkata,"May 14, 2012",T20
315,Daredevils,Kings XI,Daredevils,5 wickets,Delhi,"May 15, 2012",T20
316,Mum Indians,KKR,KKR,32 runs,Mumbai,"May 16, 2012",T20
317,Kings XI,Super Kings,Kings XI,6 wickets,Dharamsala,"May 17, 2012",T20
318,Daredevils,RCB,RCB,21 runs,Delhi,"May 17, 2012",T20
319,Chargers,Royals,Chargers,5 wickets,Hyderabad (Deccan),"May 18, 2012",T20
320,Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,"May 19, 2012",T20
321,Warriors,KKR,KKR,34 runs,Pune,"May 19, 2012",T20
322,Chargers,RCB,Chargers,9 runs,Hyderabad (Deccan),"May 20, 2012",T20
323,Royals,Mum Indians,Mum Indians,10 wickets,Jaipur,"May 20, 2012",T20
324,Daredevils,KKR,KKR,18 runs,Pune,"May 22, 2012",T20
325,Super Kings,Mum Indians,Super Kings,38 runs,Bengaluru,"May 23, 2012",T20
326,Daredevils,Super Kings,Super Kings,86 runs,Chennai,"May 25, 2012",T20
327,KKR,Super Kings,KKR,5 wickets,Chennai,"May 27, 2012",T20
328,KKR,Daredevils,KKR,6 wickets,Kolkata,"Apr 3, 2013",T20
329,RCB,Mum Indians,RCB,2 runs,Bengaluru,"Apr 4, 2013",T20
330,Sunrisers,Warriors,Sunrisers,22 runs,Hyderabad (Deccan),"Apr 5, 2013",T20
331,Daredevils,Royals,Royals,5 runs,Delhi,"Apr 6, 2013",T20
332,Super Kings,Mum Indians,Mum Indians,9 runs,Chennai,"Apr 6, 2013",T20
333,Warriors,Kings XI,Kings XI,8 wickets,Pune,"Apr 7, 2013",T20
334,Sunrisers,RCB,tied,,Hyderabad (Deccan),"Apr 7, 2013",T20
335,Royals,KKR,Royals,19 runs,Jaipur,"Apr 8, 2013",T20
336,RCB,Sunrisers,RCB,7 wickets,Bengaluru,"Apr 9, 2013",T20
337,Mum Indians,Daredevils,Mum Indians,44 runs,Mumbai,"Apr 9, 2013",T20
338,Kings XI,Super Kings,Super Kings,10 wickets,Mohali,"Apr 10, 2013",T20
339,RCB,KKR,RCB,8 wickets,Bengaluru,"Apr 11, 2013",T20
340,Warriors,Royals,Warriors,7 wickets,Pune,"Apr 11, 2013",T20
341,Daredevils,Sunrisers,Sunrisers,3 wickets,Delhi,"Apr 12, 2013",T20
342,Mum Indians,Warriors,Mum Indians,41 runs,Mumbai,"Apr 13, 2013",T20
343,Super Kings,RCB,Super Kings,4 wickets,Chennai,"Apr 13, 2013",T20
344,KKR,Sunrisers,KKR,48 runs,Kolkata,"Apr 14, 2013",T20
345,Royals,Kings XI,Royals,6 wickets,Jaipur,"Apr 14, 2013",T20
346,Super Kings,Warriors,Warriors,24 runs,Chennai,"Apr 15, 2013",T20
347,Kings XI,KKR,Kings XI,4 runs,Mohali,"Apr 16, 2013",T20
348,RCB,Daredevils,tied,,Bengaluru,"Apr 16, 2013",T20
349,Warriors,Sunrisers,Sunrisers,11 runs,Pune,"Apr 17, 2013",T20
350,Royals,Mum Indians,Royals,87 runs,Jaipur,"Apr 17, 2013",T20
351,Daredevils,Super Kings,Super Kings,86 runs,Delhi,"Apr 18, 2013",T20
352,Sunrisers,Kings XI,Sunrisers,5 wickets,Hyderabad (Deccan),"Apr 19, 2013",T20
353,KKR,Super Kings,Super Kings,4 wickets,Kolkata,"Apr 20, 2013",T20
354,RCB,Royals,RCB,7 wickets,Bengaluru,"Apr 20, 2013",T20
355,Daredevils,Mum Indians,Daredevils,9 wickets,Delhi,"Apr 21, 2013",T20
356,Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 21, 2013",T20
357,Super Kings,Royals,Super Kings,5 wickets,Chennai,"Apr 22, 2013",T20
358,RCB,Warriors,RCB,130 runs,Bengaluru,"Apr 23, 2013",T20
359,Daredevils,Kings XI,Kings XI,5 wickets,Delhi,"Apr 23, 2013",T20
360,KKR,Mum Indians,Mum Indians,5 wickets,Kolkata,"Apr 24, 2013",T20
361,Super Kings,Sunrisers,Super Kings,5 wickets,Chennai,"Apr 25, 2013",T20
362,KKR,Kings XI,KKR,6 wickets,Kolkata,"Apr 26, 2013",T20
363,Royals,Sunrisers,Royals,8 wickets,Jaipur,"Apr 27, 2013",T20
364,Mum Indians,RCB,Mum Indians,58 runs,Mumbai,"Apr 27, 2013",T20
365,Super Kings,KKR,Super Kings,14 runs,Chennai,"Apr 28, 2013",T20
366,Daredevils,Warriors,Daredevils,15 runs,Raipur,"Apr 28, 2013",T20
367,Royals,RCB,Royals,4 wickets,Jaipur,"Apr 29, 2013",T20
368,Mum Indians,Kings XI,Mum Indians,4 runs,Mumbai,"Apr 29, 2013",T20
369,Warriors,Super Kings,Super Kings,37 runs,Pune,"Apr 30, 2013",T20
370,Sunrisers,Mum Indians,Sunrisers,7 wickets,Hyderabad (Deccan),"May 1, 2013",T20
371,Daredevils,KKR,Daredevils,7 wickets,Raipur,"May 1, 2013",T20
372,Super Kings,Kings XI,Super Kings,15 runs,Chennai,"May 2, 2013",T20
373,Warriors,RCB,RCB,17 runs,Pune,"May 2, 2013",T20
374,KKR,Royals,KKR,8 wickets,Kolkata,"May 3, 2013",T20
375,Sunrisers,Daredevils,Sunrisers,6 wickets,Hyderabad (Deccan),"May 4, 2013",T20
376,Mum Indians,Super Kings,Mum Indians,60 runs,Mumbai,"May 5, 2013",T20
377,Royals,Warriors,Royals,5 wickets,Jaipur,"May 5, 2013",T20
378,Kings XI,RCB,Kings XI,6 wickets,Mohali,"May 6, 2013",T20
379,Royals,Daredevils,Royals,9 wickets,Jaipur,"May 7, 2013",T20
380,Mum Indians,KKR,Mum Indians,65 runs,Mumbai,"May 7, 2013",T20
381,Sunrisers,Super Kings,Super Kings,77 runs,Hyderabad (Deccan),"May 8, 2013",T20
382,Kings XI,Royals,Royals,8 wickets,Mohali,"May 9, 2013",T20
383,Warriors,KKR,KKR,46 runs,Pune,"May 9, 2013",T20
384,Daredevils,RCB,RCB,4 runs,Delhi,"May 10, 2013",T20
385,Warriors,Mum Indians,Mum Indians,5 wickets,Pune,"May 11, 2013",T20
386,Kings XI,Sunrisers,Sunrisers,30 runs,Mohali,"May 11, 2013",T20
387,KKR,RCB,KKR,5 wickets,Ranchi,"May 12, 2013",T20
388,Royals,Super Kings,Royals,5 wickets,Jaipur,"May 12, 2013",T20
389,Mum Indians,Sunrisers,Mum Indians,7 wickets,Mumbai,"May 13, 2013",T20
390,RCB,Kings XI,Kings XI,7 wickets,Bengaluru,"May 14, 2013",T20
391,Super Kings,Daredevils,Super Kings,33 runs,Chennai,"May 14, 2013",T20
392,KKR,Warriors,Warriors,7 runs,Ranchi,"May 15, 2013",T20
